Course Name,Course Date,Homework Item, HW Due Date,Status,Comments,Submission

algebra,October_31,8.1 #13-15; 20-22 (skip variance); 23; 25,HW Due Date,,,Not submitted
algebra,October_31,8.2 #15 – 33m3,HW Due Date,,,Not submitted
chemistry,October_30,Read; print; and bring to class the physical and chemical changes lab,HW Due Date,,,Not submitted
chemistry,October_30,Chapter 5 assessment; questions 46-48,HW Due Date,,,Not submitted
chemistry,October_30,Answer the Electron in light questions,HW Due Date,,,Not submitted
chemistry,October_30,Quiz on atomic structure and light,HW Due Date,,,Not submitted
history,October_30,Complete the Post-activity questions from today's lesson plan (if you haven't already).  Due November 6/7.,HW Due Date,,,Not submitted
history,October_30,Continue to review for the Unit 2 Exam on the Scientific Revolution and the Enlightenment.,HW Due Date,,,Not submitted
history,October_31,Complete the Unit Study Guide in anticipation of the Unit Examination next class.,HW Due Date,,,Not submitted
english,October_30,Book Check!,HW Due Date,,,Not submitted
english,October_31,Complete…,HW Due Date,,,Not submitted
english,October_31,Finish reading Oedipus Pt 1 lines 1-143,HW Due Date,,,Not submitted
english,October_31,Answer questions:,HW Due Date,,,Not submitted
english,October_31,What happened before the play started?,HW Due Date,,,Not submitted
english,October_31,What is currently happening in Thebes? Why?,HW Due Date,,,Not submitted
english,October_31,How does Oedipus view himself? How do others view him?,HW Due Date,,,Not submitted
english,October_31,How does Oedipus feel right now?,HW Due Date,,,Not submitted
english,October_31,What does Oedipus plan to do? How do you think that will turn out?,HW Due Date,,,Not submitted
english,October_31,Predict: What is going to happen in the next scene?,HW Due Date,,,Not submitted
english,October_31,These are due next class period!,HW Due Date,,,Not submitted
mandarin,October_30,Unit 1 Test on 11/1/2017,HW Due Date,,,Not submitted
mandarin,October_30,Flash cards for Unit 2 lesson A,HW Due Date,,,Not submitted
mandarin,October_30,Character Book Unit 2 Lesson A: vocabulary and words,HW Due Date,,,Not submitted
3D,October_31,Sketchbook Assignment,HW Due Date,,,Not submitted
